vehicle_id,last_service_date,mileage_km,engine_hours,vehicle_age_years,fault_code_count,oil_temp_avg_celsius,vibration_level,battery_voltage,engine_load_percent,fuel_efficiency_kmpl,vehicle_type,fuel_type,region,road_condition,weather_condition,maintenance_required,failure_component,time_to_failure_days
1330,2025-09-26 11:24:36.978477,120676.88418231733,3836.1354059852047,11,6,95.2715768411319,0.35801972766844126,12.261306103859969,105.14167901405804,11.807332032869787,Truck,Petrol,East,Urban,Normal,1,Brake System,23.813300534271498
1458,2025-06-18 11:24:36.978477,139828.03613359717,2670.351152255706,11,3,99.60486602863253,0.6135665454932134,12.315971973135595,65.76402397114668,,Van,Diesel,South,Urban,Rainy,0,nan,160.34402346679997
1087,2025-03-31 11:24:36.978477,103311.55930104997,3132.029615330419,1,6,94.59214223516184,0.5863797623834923,11.459201096214827,82.47117584776603,11.941994810176473,Sedan,Petrol,North,Highway,Hot,1,Cooling System,32.160567618063624
1372,2025-07-15 11:24:36.978477,86807.07019462387,2245.5620595423106,12,2,104.81809770102441,0.6578225870693559,12.46816561484573,74.72512690447347,8.741619194898036,SUV,Diesel,East,Rural,Normal,0,nan,150.52043804786578
1099,2025-03-05 11:24:36.978477,138725.65654537966,2616.65054619507,6,3,,0.6788057723821026,11.880849774886203,63.59502388557815,10.111144160723786,Sedan,Diesel,North,Rural,Hot,0,nan,168.13988536027435
1871,2025-06-30 11:24:36.978477,144865.91623471462,5120.311242634233,8,4,84.16357149405555,0.4973574839609402,13.433015446373863,66.78422573564193,13.46329124659624,SUV,Diesel,South,Rural,Rainy,0,nan,157.64125552677405
1663,2025-06-10 11:24:36.978477,123613.12621771988,2610.1574641368584,1,1,,0.7666655576060966,12.13506437333525,52.93419259082571,18.87793924651239,Truck,Diesel,West,Highway,Rainy,0,nan,211.0880246757531
1130,2025-09-01 11:24:36.978477,227418.6971717797,6184.316144312249,13,3,86.92049409120963,0.6248775188805408,10.957679537630034,64.07534969579123,20.5362560375658,Van,Diesel,North,Urban,Cold,1,Cooling System,28.36143384121629
1661,2025-11-16 11:24:36.978477,164929.43901884274,6411.744171219825,10,4,86.84589964985891,0.3076409831110578,13.297201417119908,91.63072788671899,13.594648189682678,Sedan,Diesel,South,Rural,Normal,0,nan,242.6300242378368
1308,2026-02-06 11:24:36.978477,184547.48886915133,3470.634456651486,12,1,96.33961776556033,0.6678103816791595,11.539205355047073,79.90492697478616,11.305195402087287,SUV,Electric,West,Rural,Hot,0,nan,260.65325330915573
1769,2025-08-25 11:24:36.978477,186141.34074702422,6523.294750874819,9,3,106.9435517184252,0.46852562649784013,13.110693321256754,78.10938359846797,15.858122678711613,Van,Diesel,West,Urban,Cold,1,Battery,20.577149066768115
1343,2025-11-29 11:24:36.978477,146278.7567648525,3033.3026907210005,3,3,75.59388790093627,0.06200018076100844,11.20845968639511,103.25513700282373,16.828507350015126,Van,Electric,South,Rural,Rainy,0,nan,153.93138970796895
1491,2025-04-09 11:24:36.978477,153119.08790013983,4191.8158743020185,3,1,93.18307185789347,0.9614784828573404,11.386168664427878,94.75257620737796,11.546832978629329,Truck,Electric,East,Urban,Rainy,0,nan,176.69748898265235
1413,2025-06-25 11:24:36.978477,88389.93848950247,1792.263603522338,4,7,84.84497360648413,0.22153672003674596,10.99680861973003,71.00727200044288,12.441804065693741,Truck,Petrol,South,Urban,Hot,0,nan,109.48034978936117
1805,2025-02-23 11:24:36.978477,179358.9707827572,3775.293379316736,11,6,102.5527687983051,0.41301758966470337,12.479108618951274,45.311822035076794,20.240838914355493,Van,Petrol,South,Urban,Rainy,1,Engine,12.92082050272438
1385,2025-06-25 11:24:36.978477,120001.11831708439,2727.511617011932,1,3,101.42461904338255,0.5463447909549545,13.602015678609645,59.828345225746624,15.821259352285985,Truck,Diesel,West,Urban,Hot,0,nan,152.4964700717199
1191,2025-03-04 11:24:36.978477,101614.91709117458,1910.8926256456912,9,6,,0.6287465032596995,11.043783907104682,40.79699111406296,7.270039090793504,Truck,Diesel,North,Urban,Hot,1,Transmission,15.066540139106626
1955,2025-08-19 11:24:36.978477,218117.9592436939,7798.922498232453,11,4,79.94985107822654,0.6372621975275243,,65.720757055595,10.963565372690985,Truck,Diesel,North,Highway,Hot,1,Transmission,13.630370534096008
1276,2025-09-21 11:24:36.978477,60065.53677283526,1226.8945828317715,3,2,99.14771881070527,0.5296012059839881,13.365443820173992,99.04807217406989,13.278516648466814,Truck,Petrol,East,None,Hot,0,nan,181.08509874869304
1160,2025-04-02 11:24:36.978477,243144.54654002684,5388.4169357018745,13,1,94.05820619618791,0.2736234671099179,13.585530015953738,47.66342469943572,12.53983261287769,Van,Petrol,North,Urban,Hot,0,nan,244.35010182990536
1459,2025-01-26 11:24:36.978477,238395.83938138172,6921.736655431901,10,6,75.05613500608251,0.6878845151529667,12.596921624895229,79.73704565731707,9.1279625126562,Truck,Diesel,North,Highway,Rainy,1,Battery,20.553866567589957
1313,2025-12-02 11:24:36.978477,126665.53576925915,3061.0944783274917,4,1,76.79142443062985,0.38823593746559193,11.93022129957614,55.7604413990453,20.498446898692304,Van,Diesel,West,Rural,Rainy,0,nan,134.56681124042015
1021,2025-06-03 11:24:36.978477,247111.9447123954,5573.2625893035365,1,2,89.50899176735746,0.7098329994952243,12.750119076182543,65.53395542737961,13.728029012520656,Truck,Petrol,West,Highway,Hot,0,nan,196.5089675336142
1252,2025-04-22 11:24:36.978477,86699.44197285455,1841.2159910804025,4,4,95.01814082968019,0.7178212533127878,12.364620842248092,85.06410005455903,8.068498264730573,Sedan,Diesel,North,Urban,Rainy,0,nan,229.78079968355874
1747,2025-06-16 11:24:36.978477,199645.33667061775,6521.844234706667,13,5,109.52668752452831,0.6105974979410934,12.947584077269298,38.706147138880795,10.197304816480033,Truck,Petrol,East,Highway,Normal,1,Engine,5.849126596986858
1856,2025-05-29 11:24:36.978477,141007.9781485963,5024.621031715692,1,5,91.37298093876296,0.38689108652055293,12.361011980886866,82.02948567259247,10.324815447805307,Van,Diesel,East,Urban,Hot,0,nan,348.14056768797013
1560,2025-09-22 11:24:36.978477,31616.367563110005,1126.6742133561756,5,3,99.39124997429975,0.5066491410705841,,69.15547421334706,,Truck,Diesel,North,Highway,Cold,0,nan,148.8280722074779
1474,2025-01-20 11:24:36.978477,102139.3426349173,3020.4388998804825,5,4,96.04848326563393,0.9643554508130752,11.532024910416837,65.2878848433692,12.23273454972329,SUV,Petrol,West,Urban,Rainy,1,Transmission,1.0
1058,2025-10-24 11:24:36.978477,129529.83859846748,4372.286503196408,14,2,,0.5705660662910796,11.713342162665539,62.52852171347943,10.798542486873695,Truck,Diesel,West,Urban,Hot,0,nan,299.66655399568054
1510,2026-01-22 11:24:36.978477,186740.3787019512,4546.96376199464,11,6,89.26273225117583,0.2874450688327249,12.550680115371213,74.15109857714474,,Truck,Diesel,East,Highway,Cold,1,Transmission,18.604190402858585
1681,2025-02-03 11:24:36.978477,111375.05536498892,2922.3707483862268,7,3,95.30359361697538,0.7361657928077407,11.592535884519846,85.8674719302583,16.33048772387861,Truck,Diesel,East,Urban,Cold,0,nan,277.53516601379647
1475,2025-02-08 11:24:36.978477,123611.28683537786,2386.6870214741134,14,3,80.12796190882057,0.4588886849986302,13.139407848972645,66.04210610368558,8.775614632836902,Truck,Diesel,West,Urban,Normal,1,Battery,20.351061194858627
1699,2025-05-23 11:24:36.978477,172459.02933211808,3707.0365214712574,8,3,101.90947983562924,0.8364837071012104,11.59170586054994,78.27749486508726,14.588393234811656,Truck,Diesel,East,Urban,Normal,0,nan,242.56805547046915
1975,2025-01-28 11:24:36.978477,169285.76010223027,5430.287141538862,4,0,112.34991130427508,0.12842225202638125,12.215735000282832,95.87362887974976,8.635000032828113,Truck,Diesel,East,Highway,Rainy,0,nan,211.3288415171648
1782,2025-05-20 11:24:36.978477,134496.46486017352,5100.008807648149,7,4,,0.6579791172278067,10.311395188484118,67.500217865372,7.840713641407977,Truck,Petrol,North,Urban,Normal,1,Battery,14.404246265908363
1189,2025-07-19 11:24:36.978477,121829.27437038728,2632.7418175034677,4,5,103.28176606495938,0.9969716081717082,,45.53861898142692,16.78865938998912,Van,Diesel,West,Urban,Hot,1,Battery,41.354970045263336
1957,2025-06-07 11:24:36.978477,196358.38781768124,3897.946674242658,3,2,99.0633366121301,0.7537613858936311,12.744887998405902,83.64820087259612,9.678198744659113,Van,Diesel,South,Rural,Normal,0,nan,278.20805861883866
1686,2025-02-14 11:24:36.978477,121492.0009801629,2639.4200763262816,6,8,72.70503709885362,0.7372305007268456,12.977082777468274,103.45920967418616,15.366821506605962,Van,Diesel,East,None,Rainy,1,Transmission,37.4998377083828
1957,2025-10-07 11:24:36.978477,68636.83859207758,1548.880723216545,4,5,,0.4390988601743123,12.51475691383108,75.81032259758769,16.259050371897434,SUV,Diesel,West,Urban,Rainy,0,nan,115.52884937155494
1562,2026-01-21 11:24:36.978477,116335.97303607958,3581.8329952712197,14,2,78.47932950683855,0.3949353877089128,12.435256211717153,63.744434957015564,12.168968680628744,Truck,Diesel,West,Urban,Normal,0,nan,131.56401095864874
1875,2025-09-24 11:24:36.978477,172809.0002503822,4337.781631202594,3,6,89.2810084061452,0.5031963978954967,12.389194985932239,62.81717134169321,15.134945927740283,Van,Diesel,West,Urban,Rainy,1,Transmission,28.765251164553508
1566,2025-04-21 11:24:36.978477,131042.56329540657,2803.1183809330773,9,4,104.19957157008422,0.7115190111912548,11.885744076018678,59.488907644486176,14.662603324455732,SUV,Petrol,East,Urban,Rainy,0,nan,188.22531654363092
1243,2025-08-24 11:24:36.978477,109834.16465814799,3565.9003764240083,5,1,,0.550775499027467,12.608305027388335,61.238865830847224,13.958426311818632,Van,Diesel,West,Highway,Cold,0,nan,202.21970239100344
1831,2025-07-01 11:24:36.978477,64711.81393474359,1646.7658160739302,13,6,99.48066509117504,0.2805192890945448,13.787127658073944,59.1853633409397,12.757206394832746,Sedan,Diesel,South,Urban,Normal,1,Engine,9.367399547020845
1504,2025-11-27 11:24:36.978477,131363.80033105376,4607.5023709050565,14,0,100.66779834123103,0.7369014054571811,13.113721186784069,88.38570166158314,13.83679847098399,Truck,Petrol,North,None,Cold,0,nan,261.3640554288734
1130,2025-10-31 11:24:36.978477,153674.7709911856,3755.3488947239152,7,3,86.03417954954274,0.6114578759385992,12.696982947368255,77.78920679569694,11.19691807480523,Truck,Petrol,North,Urban,Hot,1,Battery,26.06555113356574
1484,2025-09-02 11:24:36.978477,79556.93525767581,1884.9621142619048,12,0,92.28894995094495,0.677948103234208,12.342333925576062,39.06191726886909,7.30783741275231,SUV,Diesel,North,Highway,Hot,0,nan,257.83147719889445
1818,2025-10-04 11:24:36.978477,128642.77198113361,3132.9239330867563,14,4,97.54845627853183,0.5254415536332193,12.42804680040334,78.11240839741521,,Truck,Petrol,South,Rural,Rainy,0,nan,286.5898960607186
1646,2025-05-29 11:24:36.978477,74366.26149122688,1902.7320229799857,6,2,108.36416957590643,0.6134542716854819,13.241158761516303,47.19571244854393,14.312149701314844,Truck,Petrol,East,Urban,Normal,0,nan,205.72589025924304
1020,2025-10-20 11:24:36.978477,132273.3019267945,3103.28653180798,10,2,93.42814800341073,0.713184769825933,,73.42432811793962,,Truck,Diesel,West,Highway,Cold,0,nan,107.7673745054441
1840,2025-03-23 11:24:36.978477,243529.7217306624,4435.55634295768,5,5,92.19496094614603,0.5119204287259081,13.161169940588575,76.85506322824884,11.076518188446716,Sedan,Diesel,North,Urban,Hot,0,nan,205.2217666257771
1166,2025-10-30 11:24:36.978477,150302.79647040632,3441.3059038395136,7,2,78.39649788693328,0.41577674802088516,13.79721618747304,85.52250287726818,10.738103729078125,Sedan,Petrol,South,Urban,Cold,0,nan,197.19429393880168
1273,2025-02-09 11:24:36.978477,45105.59808523748,948.0540610195266,11,6,85.23413113906284,0.3240198665780107,12.91928513451348,83.64827852464757,6.720730007176248,SUV,Petrol,East,Highway,Normal,1,Brake System,12.81191350262327
1387,2025-03-15 11:24:36.978477,159867.8166886805,5196.650463201743,6,2,97.73446439745273,0.588994940264425,13.773607996171826,80.45325360474199,8.010651537499733,Truck,Diesel,East,Urban,Cold,0,nan,178.75446397102502
1600,2025-07-04 11:24:36.978477,218708.85099164757,5347.312869045204,10,4,92.96598958002654,0.6379204213946182,14.584103037278744,87.78530614785294,6.268797330971101,Truck,Diesel,East,Rural,Cold,1,Cooling System,21.385854717865666
1315,2025-07-10 11:24:36.978477,56956.60932560987,2257.928419002636,2,4,77.39590746275442,0.7694525644111325,11.145476213411575,79.47852819101261,7.03122115157773,Sedan,Diesel,East,Rural,Hot,0,nan,141.37264461647558
1013,2025-05-16 11:24:36.978477,77270.40696095466,2978.3843477199002,13,2,77.16435660274203,0.7464439632913115,12.437399690625252,70.8892722005354,10.537754476649146,SUV,Electric,South,Urban,Cold,0,nan,85.35773296054467
1241,2025-02-07 11:24:36.978477,155500.90865623788,4484.601147408965,13,5,82.14231969736986,0.5963041198153726,,57.867011011482774,15.731842305458645,Sedan,Diesel,East,Urban,Hot,1,Cooling System,30.434422639235393
1776,2026-01-17 11:24:36.978477,134773.07284085994,3455.895771915809,13,9,91.62001834409753,0.6390401565370303,12.353245175028205,61.22326474619988,14.32406063410564,Van,Diesel,West,Urban,Normal,1,Cooling System,13.132771277950686
1345,2025-05-12 11:24:36.978477,212670.16222200246,5031.338174166369,3,4,106.69115447280348,0.9448829890057071,13.915425096306551,59.97595757729993,19.07535616543291,Van,Petrol,West,None,Normal,0,nan,249.49098393280298
1564,2025-03-29 11:24:36.978477,232491.19830028093,2501.189952319687,2,4,98.12031748526793,0.7285107266603928,13.627286229271203,101.16041252045427,14.905005662363433,Truck,Petrol,South,Highway,Cold,0,nan,202.45788848572377
1897,2025-05-14 11:24:36.978477,189526.84993935417,3935.9555258796836,12,3,,0.6511728538467931,,91.82471105721771,5.289745319799445,Truck,Diesel,East,Rural,Rainy,0,nan,91.18329290454732
1339,2026-01-23 11:24:36.978477,231686.19576277942,6814.438412511263,3,3,86.47240469673054,0.40300598928865783,12.735344117988957,80.45592788124912,13.631600738284353,Van,Electric,West,Rural,Normal,0,nan,135.76280165905774
1091,2025-12-26 11:24:36.978477,87944.63895347899,1859.1168271829129,1,2,100.80581716171163,0.5035247068047329,11.918654233375642,56.59894350304544,19.586020427017903,Van,Diesel,North,Highway,Rainy,0,nan,258.9347679302239
1366,2025-11-17 11:24:36.978477,184860.33651667112,4456.427574832005,8,3,99.06744208568233,0.2870052873792507,13.403689172261544,75.79357335044877,8.139331705352284,Sedan,Diesel,North,Urban,Hot,0,nan,197.28420334969522
1955,2025-09-24 11:24:36.978477,115948.31404573473,2396.8426412708122,6,2,86.75757989728646,0.656345255978295,11.955628551238483,82.67845670830188,,Van,Diesel,East,Rural,Cold,0,nan,183.96253783517272
1454,2025-09-30 11:24:36.978477,7085.854974470247,189.80906959772796,13,4,67.33107710471167,0.44901712639557034,12.927578937909969,66.08145092056952,11.457127603797222,SUV,Petrol,South,None,Normal,0,nan,233.90919976862438
1427,2025-02-18 11:24:36.978477,168582.550269033,6073.558668342086,2,4,98.6749193612648,0.39140253198146496,11.897148201951183,77.72305946454672,12.280730365434598,SUV,Petrol,East,None,Normal,0,nan,251.94855385849095
1508,2025-05-18 11:24:36.978477,175966.4621241652,4040.131891556044,8,2,90.9040533226022,0.6676764605908307,11.88442991073097,53.268645759137435,17.05140613073179,Truck,Electric,East,Urban,Rainy,0,nan,140.67543408447807
1775,2025-08-26 11:24:36.978477,47045.43809426579,1127.8870095753516,6,1,115.79063958662366,0.8113937098454862,,67.14895491915621,13.207880097800006,Van,Petrol,North,Urban,Cold,0,nan,141.61729124494371
1942,2026-01-03 11:24:36.978477,112764.24707173827,2103.492467807207,7,2,90.89537049930915,0.465140757053633,12.137236410671676,67.08834660687802,13.15216253470139,Truck,Petrol,West,Rural,Normal,0,nan,174.13647453566006
1034,2025-03-25 11:24:36.978477,102619.69058009457,3436.2449725529955,11,5,94.70436718270201,0.5318391043111786,12.60681371777275,57.16824786572765,11.861223437339014,Truck,Diesel,South,Rural,Cold,1,Cooling System,15.794408347822413
1205,2025-10-25 11:24:36.978477,188599.2647658411,4220.734805144486,1,3,,0.5381756961490973,12.099661203389147,90.04367084145144,18.540220137529737,Sedan,Diesel,North,Highway,Cold,0,nan,166.8775449856176
1080,2025-08-04 11:24:36.978477,47048.513984193865,1199.5377464864998,7,1,100.2494529925451,0.8820761558860051,12.662887440020157,84.35749636037905,11.718257170614294,Truck,Diesel,South,Urban,Normal,0,nan,229.85485231223058
1931,2025-05-02 11:24:36.978477,263529.95086173643,4025.7050682110066,3,2,99.75569940512669,0.3665706974028268,12.432734478742573,114.29283080935016,,Truck,Diesel,West,Rural,Rainy,0,nan,112.55996802752101
1561,2025-05-23 11:24:36.978477,5000.0,102.38133472636963,11,3,81.58164687955984,0.0927168884167382,12.581974949923618,50.98253102082661,11.174149895444017,Truck,Diesel,South,Urban,Normal,0,nan,127.55267289234803
1871,2025-07-16 11:24:36.978477,162770.58696652285,3300.3286774556186,12,1,79.03287746718442,0.6807471211368656,,94.90079516472797,9.169511875693267,Truck,Diesel,South,Urban,Rainy,0,nan,135.25091584294995
1387,2025-07-01 11:24:36.978477,147507.73785202907,3176.443468417308,8,4,108.23345893715258,0.07737156350061447,13.556632727520844,72.01941968509041,16.639093506050063,Sedan,Petrol,South,Urban,Rainy,0,nan,184.59290238663965
1001,2025-10-24 11:24:36.978477,109342.36352041192,3974.923097321134,6,3,89.36861090750016,0.39377999079965764,11.940749967912378,70.00173286210493,16.944675748696394,Sedan,Diesel,East,Highway,Normal,0,nan,228.9621796148619
1389,2025-08-30 11:24:36.978477,225697.83352945873,6384.063065823681,4,1,101.56236845243878,0.9905507509937501,14.51184132888366,101.83966860186565,13.643586024603449,Van,Petrol,East,Rural,Cold,0,nan,196.01854587674006
1565,2025-09-23 11:24:36.978477,5000.0,189.37596618269572,11,1,90.8722944385352,0.5846167481164591,12.062563270577705,79.22565660514655,15.016594712544137,Truck,Diesel,North,Highway,Rainy,0,nan,34.95956184911867
1105,2025-07-30 11:24:36.978477,138910.7044044953,3933.984438760527,8,0,72.58637663759623,0.6710255741040536,11.864775189030071,63.791735623903094,17.215238577353524,Van,Electric,South,Urban,Normal,0,nan,173.8520506636399
1771,2025-07-06 11:24:36.978477,211855.91351697102,4767.499397680355,9,4,111.75583439436996,0.7761810473548906,12.260702557121068,60.63466834668795,11.51804685123256,SUV,Electric,West,Highway,Cold,1,Engine,30.461018951334175
1821,2025-07-04 11:24:36.978477,147728.51474764448,3642.113725718091,10,2,104.47752454868304,0.3026577379446879,,57.013014970085194,11.996622635316678,SUV,Petrol,South,None,Rainy,0,nan,157.3272886766327
1476,2025-11-25 11:24:36.978477,221963.96885975308,4816.079337627532,2,3,101.53580557810558,0.6526161291580115,,75.89834365966244,9.401097660328153,SUV,Diesel,North,Rural,Normal,0,nan,195.4987747793927
1702,2025-08-14 11:24:36.978477,112965.59230488125,2719.1890545083866,6,1,83.58210716658826,0.2408855155912356,13.2841059795502,106.25394961341685,15.796227978486598,Sedan,Diesel,North,Urban,Rainy,0,nan,182.46506323911112
1401,2025-04-25 11:24:36.978477,129970.369577004,3118.709042448027,5,2,103.55946427590983,0.4448531692772548,12.273828969455302,69.32745566661663,11.867802979756911,Truck,Diesel,East,Highway,Cold,0,nan,114.09043946783952
1729,2026-02-08 11:24:36.978477,213995.41590319923,5306.247275403781,5,3,98.29247183635681,0.5839776765158093,10.542784636447454,52.62042282695536,13.21668695138647,SUV,Diesel,West,Urban,Normal,0,nan,208.6495818175046
1555,2025-12-20 11:24:36.978477,193673.22443150173,5390.328833038942,10,3,86.43535003885387,0.41021267033843634,13.200798037599414,57.044562174728306,14.86072570129908,SUV,Diesel,East,None,Hot,0,nan,189.55131459308404
1161,2025-07-13 11:24:36.978477,283955.19848940516,7395.254705769702,11,5,91.75858428371515,0.5745006398022293,12.126920492835561,60.369348493844356,15.046511744144235,SUV,Diesel,East,Highway,Rainy,1,Cooling System,16.025658386613166
1201,2025-05-15 11:24:36.978477,146169.00723525172,5151.669737829009,3,1,94.14063119182522,0.7665795293796347,11.969494534561004,83.63384148683906,,Sedan,Diesel,North,Highway,Normal,0,nan,75.50140132412308
1957,2025-01-19 11:24:36.978477,152014.78555635244,3038.1535994755973,12,3,87.94389153354078,0.4325217755454011,13.001928884602172,79.00657097333246,15.459407295248601,Truck,Electric,East,Urban,Cold,0,nan,156.4726139781493
1995,2025-03-26 11:24:36.978477,112315.99549857836,2173.4506662600324,8,2,98.76753113540619,0.7042034211904289,12.319959682662134,71.26881201377097,21.071041413893706,Van,Diesel,North,Urban,Normal,0,nan,149.16928406732708
1269,2025-12-23 11:24:36.978477,127756.77277260933,2662.258097389234,14,2,105.35593716597023,0.39735074078253874,11.755342911549075,87.02315828307974,13.019919032434686,Truck,Diesel,North,Highway,Cold,1,Transmission,34.82041891815834
1862,2025-10-10 11:24:36.978477,204683.93380355637,4815.233707631773,8,4,89.47096069296262,0.8307076743013361,11.957497148139609,88.85616296432715,18.289767869120162,Van,Electric,East,Rural,Hot,1,Cooling System,34.863547598095835
1815,2025-12-10 11:24:36.978477,139984.07770536165,3326.983290885397,12,3,93.712204872317,0.7410525256033396,,64.89684264103681,6.421094313706495,Van,Petrol,North,Rural,Rainy,1,Transmission,25.949602361939498
1270,2026-02-03 11:24:36.978477,91562.51038316073,2341.1708506256505,5,2,93.66305567008995,0.7351498831949708,12.526175355085245,63.8639114895049,13.39681616133657,Truck,Diesel,West,Urban,Cold,0,nan,149.40282359657448
1455,2025-09-23 11:24:36.978477,117436.89107613351,3676.750570286521,8,6,104.96696754170216,0.771401517558822,13.021491027448725,87.60165683653153,4.958463702457642,SUV,Diesel,North,None,Rainy,1,Engine,16.697780584153477
1461,2026-02-14 11:24:36.978477,134580.28488507043,3685.705810275609,10,2,97.20500114799675,1.0184388827376165,13.864188998343844,88.40001996407827,16.92387671187067,Van,Diesel,West,Highway,Normal,0,nan,168.3041296423395
1726,2026-02-11 11:24:36.978477,95449.32388231345,1745.0503598060845,8,5,107.36595199616698,0.6468464087410178,11.18508277783297,65.9533507439915,8.925735809688472,Sedan,Diesel,East,Urban,Normal,1,Battery,9.348305888804484
1251,2025-10-21 11:24:36.978477,112522.45141062612,3830.6701578175225,3,1,87.1287968477394,0.41883916660977294,12.605219644993173,28.19398261478191,11.418657402294466,Truck,Diesel,North,Urban,Cold,0,nan,169.7593567126831
1701,2025-06-25 11:24:36.978477,80012.34229813691,1938.2601123778143,2,2,94.87015108521926,0.7219691525134753,12.088279800049754,87.25435806778209,9.166349742120694,SUV,Diesel,East,Rural,Hot,0,nan,245.48319820519333
1295,2025-06-03 11:24:36.978477,114643.71190456727,2248.1022049642265,9,0,101.91297372302593,0.6365782553292035,12.76147195691873,66.2372289701685,17.138918039506184,Truck,Diesel,West,Urban,Cold,0,nan,196.23792999642828
1724,2025-05-02 11:24:36.978477,209972.5490584909,5441.105847633037,2,1,103.44094745772496,0.6436397971285615,12.450973495367041,49.160428685160284,17.38099468213455,SUV,Diesel,West,None,Rainy,0,nan,294.76040346469597
1719,2026-02-03 11:24:36.978477,142903.36371393746,3310.376765810442,9,1,90.47861197785872,0.6628242054370638,,86.44388526717015,9.481327509646608,Truck,Petrol,North,Urban,Normal,0,nan,147.65238649408462
1748,2025-02-14 11:24:36.978477,287679.16361846344,5772.772595129385,4,6,94.59811341244647,0.2630158260474146,12.070453801090451,89.9543317834592,13.186432855921264,Truck,Diesel,North,None,Rainy,1,Battery,22.292845347929862
1337,2025-12-08 11:24:36.978477,94168.07642055035,2273.117494149375,12,5,85.15146779319949,0.4153432800854313,,82.59395871752349,8.913283576818733,Truck,Diesel,East,Urban,Rainy,1,Brake System,28.87398395694288
1878,2025-07-18 11:24:36.978477,169129.66972032984,3602.7905604107336,13,3,71.82602176008965,0.3173389004496671,12.184594481114562,83.92282574846277,12.841735692565024,Van,Petrol,East,None,Rainy,1,Battery,5.493007755367046
1052,2025-02-19 11:24:36.978477,153332.34941488304,4329.200043698553,2,3,91.2477065933618,1.0588124897068656,10.943029849677178,88.59254585275674,7.653168156327978,Truck,Diesel,North,Highway,Hot,0,nan,179.1583936360975
1791,2025-07-16 11:24:36.978477,179026.37073404138,3809.8258627588866,10,1,91.29650642805122,0.9900887805595693,12.125649657737673,62.3591178389039,9.904786892875574,Van,Diesel,West,Urban,Rainy,0,nan,128.97946511036776
1921,2025-09-23 11:24:36.978477,103635.84848055674,3950.946315416989,1,0,89.96003614505717,1.081977143709345,,90.13407618925366,12.700695635641802,Van,Petrol,West,Urban,Normal,0,nan,240.46609930466792
1216,2025-02-18 11:24:36.978477,117892.08974394831,3984.5937084518678,4,5,82.03162711054908,0.9491175408893108,13.067645146291003,64.28588459154484,16.5837423793725,Van,Diesel,South,Rural,Normal,1,Engine,8.959513779879266
